età,campania,Emilia-Romagna,Lazio,Lombardia,Marche,Puglia,Sicilia,Toscana,Umbria,Veneto,Piemonte
0-2,142494,97432,124798,228202,30428,85189,117644,74045,17179,105598,87614
03-05,150633,109304,143884,254609,35442,93986,125464,83794,19654,118043,99067
06-10,277933,202491,266467,470271,66392,176232,225009,157968,37579,222031,184405
11-13,181310,125543,165629,294272,41636,113550,144574,100679,24211,141385,116198
14-18,319947,200520,265105,473182,68258,202547,254211,163893,38615,232380,190247
19-24,406411,242683,325669,575795,86198,258745,324647,197880,47247,285686,237757
25-44,1469387,1042594,1399882,2392855,347570,966819,1211941,834114,199260,1117212,957492
45-64,1664394,1364076,1787389,3042581,455722,1164395,1415590,1129754,260610,1521131,1322477
65-79,795317,710123,876272,1558195,247661,623716,740295,629839,147893,777127,744560
80-84,158816,180771,205476,379655,65760,136652,160523,159436,37853,181729,189439
85,145501,188582,195129,357985,67605,131474,155392,161153,40064,176811,181961
